Model,Precision,Recall,F1_Score,Accuracy
ISO_n100_p90_label,0.6,1.0,0.75,0.96
ISO_n100_p95_label,1.0,1.0,1.0,1.0
ISO_n100_p99_label,1.0,0.5,0.6667,0.97
ISO_n200_p90_label,0.6,1.0,0.75,0.96
ISO_n200_p99_label,1.0,0.5,0.6667,0.97
HBOS_bins10_p90_label,0.3,1.0,0.4615,0.86
HBOS_bins10_p95_label,0.3,1.0,0.4615,0.86
HBOS_bins10_p99_label,0.3,1.0,0.4615,0.86
HBOS_bins20_p90_label,0.3,1.0,0.4615,0.86
HBOS_bins20_p95_label,0.3,1.0,0.4615,0.86
HBOS_bins20_p99_label,0.3,1.0,0.4615,0.86
LSTM_Uniao_ISO_n100_HBOS_bins10_p90_label,0.0,0.0,0.0,0.79
LSTM_Uniao_ISO_n100_HBOS_bins10_p95_label,0.0,0.0,0.0,0.81
LSTM_Uniao_ISO_n100_HBOS_bins10_p99_label,0.0,0.0,0.0,0.83
LSTM_Inter_ISO_n100_HBOS_bins10_p90_label,0.0,0.0,0.0,0.79
LSTM_Inter_ISO_n100_HBOS_bins10_p95_label,0.0,0.0,0.0,0.81
LSTM_Inter_ISO_n100_HBOS_bins10_p99_label,0.0,0.0,0.0,0.83
LSTM_Uniao_ISO_n100_HBOS_bins20_p90_label,0.0,0.0,0.0,0.79
LSTM_Uniao_ISO_n100_HBOS_bins20_p95_label,0.0,0.0,0.0,0.81
LSTM_Uniao_ISO_n100_HBOS_bins20_p99_label,0.0,0.0,0.0,0.83
LSTM_Inter_ISO_n100_HBOS_bins20_p90_label,0.0,0.0,0.0,0.79
LSTM_Inter_ISO_n100_HBOS_bins20_p95_label,0.0,0.0,0.0,0.81
LSTM_Inter_ISO_n100_HBOS_bins20_p99_label,0.0,0.0,0.0,0.83
LSTM_Uniao_ISO_n200_HBOS_bins10_p90_label,0.0,0.0,0.0,0.79
LSTM_Uniao_ISO_n200_HBOS_bins10_p95_label,0.0,0.0,0.0,0.81
LSTM_Uniao_ISO_n200_HBOS_bins10_p99_label,0.0,0.0,0.0,0.83
LSTM_Inter_ISO_n200_HBOS_bins10_p90_label,0.0,0.0,0.0,0.79
LSTM_Inter_ISO_n200_HBOS_bins10_p95_label,0.0,0.0,0.0,0.81
LSTM_Inter_ISO_n200_HBOS_bins10_p99_label,0.0,0.0,0.0,0.83
LSTM_Uniao_ISO_n200_HBOS_bins20_p90_label,0.0,0.0,0.0,0.79
LSTM_Uniao_ISO_n200_HBOS_bins20_p95_label,0.0,0.0,0.0,0.81
LSTM_Uniao_ISO_n200_HBOS_bins20_p99_label,0.0,0.0,0.0,0.83
LSTM_Inter_ISO_n200_HBOS_bins20_p90_label,0.0,0.0,0.0,0.79
LSTM_Inter_ISO_n200_HBOS_bins20_p95_label,0.0,0.0,0.0,0.81
LSTM_Inter_ISO_n200_HBOS_bins20_p99_label,0.0,0.0,0.0,0.83
LSTM_Sujo_p90_label,0.0,0.0,0.0,0.79
LSTM_Sujo_p95_label,0.0,0.0,0.0,0.81
LSTM_Sujo_p99_label,0.0,0.0,0.0,0.83
