Model,Percentile,Threshold_Value,Anomalies_Detected,Pct_Dataset,Calibrated_On
LSTM_Uniao_ISO_n100_HBOS_bins10,90,366.366904,15,15.0,train
LSTM_Uniao_ISO_n100_HBOS_bins10,95,366.411676,13,13.0,train
LSTM_Uniao_ISO_n100_HBOS_bins10,99,366.447497,11,11.0,train
LSTM_Inter_ISO_n100_HBOS_bins10,90,364.503591,15,15.0,train
LSTM_Inter_ISO_n100_HBOS_bins10,95,364.54819,13,13.0,train
LSTM_Inter_ISO_n100_HBOS_bins10,99,364.583871,11,11.0,train
LSTM_Uniao_ISO_n100_HBOS_bins20,90,363.966646,15,15.0,train
LSTM_Uniao_ISO_n100_HBOS_bins20,95,364.011152,13,13.0,train
LSTM_Uniao_ISO_n100_HBOS_bins20,99,364.046759,11,11.0,train
LSTM_Inter_ISO_n100_HBOS_bins20,90,367.390118,15,15.0,train
LSTM_Inter_ISO_n100_HBOS_bins20,95,367.434882,13,13.0,train
LSTM_Inter_ISO_n100_HBOS_bins20,99,367.470695,11,11.0,train
LSTM_Uniao_ISO_n200_HBOS_bins10,90,364.184395,15,15.0,train
LSTM_Uniao_ISO_n200_HBOS_bins10,95,364.228955,13,13.0,train
LSTM_Uniao_ISO_n200_HBOS_bins10,99,364.264605,11,11.0,train
LSTM_Inter_ISO_n200_HBOS_bins10,90,364.395331,15,15.0,train
LSTM_Inter_ISO_n200_HBOS_bins10,95,364.439876,13,13.0,train
LSTM_Inter_ISO_n200_HBOS_bins10,99,364.475515,11,11.0,train
LSTM_Uniao_ISO_n200_HBOS_bins20,90,365.263917,15,15.0,train
LSTM_Uniao_ISO_n200_HBOS_bins20,95,365.308511,13,13.0,train
LSTM_Uniao_ISO_n200_HBOS_bins20,99,365.344189,11,11.0,train
LSTM_Inter_ISO_n200_HBOS_bins20,90,361.085649,15,15.0,train
LSTM_Inter_ISO_n200_HBOS_bins20,95,361.130096,13,13.0,train
LSTM_Inter_ISO_n200_HBOS_bins20,99,361.165655,11,11.0,train
LSTM_Sujo,90,366.293193,15,15.0,train
LSTM_Sujo,95,366.337855,13,13.0,train
LSTM_Sujo,99,366.373586,11,11.0,train
